"","url","title","descriptionURL","organization","citation","abstract","valuecount","variablecount","sitecount","id","networkName","minLon","minLat","maxLon","maxLat"
"1","https://hydroportal.cuahsi.org/NEON/cuahsi_1_1.asmx?WSDL","National Ecological Observatory Network","http://hiscentral.cuahsi.org/pub_network.aspx?n=5655","National Ecological Observatory Network","National Ecological Observatory Network. 2016. Provisional data downloaded from http://data.neonscience.org on [DOWNLOAD DATE]. Battelle, Boulder, CO, USA","The National Ecological Observatory Network provides open data to understand changing ecosystems. NEON measures a diverse suite of biological, physical, chemical and ecological characteristics at field sites across the continent. NEON data are sent to headquarters after site construction is complete and data collection begins. The Observatory processes these measurements to derive standard, quality-assured data products that support greater understanding of complex ecological processes at local, regional and continental scales. 

The CUAHSI WaterOneFlow web service provides access to a subset of hydrological and atmospheric NEON data products in time-series format in 30-minute time step.","257243760",NA,"2427","5655","NEON","-156.6193","17.96899","71.28242","-66.79752"
"2","https://hydroportal.cuahsi.org/LTERNTLWoodruff/cuahsi_1_1.asmx?WSDL","LTER NTL Woodruff Airport Metstation","http://hiscentral.cuahsi.org/pub_network.aspx?n=5657","LTER NTL North Temperate Lakes","J. Magnuson, S. Carpenter, E. Stanley. 2010. North Temperate Lakes LTER Meteorological Data - Woodruff Airport 1989 - current. Environmental Data Initiative. https://doi.org/10.6073/pasta/04559c3dbbc83dbf16681d258b9274be.","Woodruff Airport is the closest metstation to Trout Lake Station in the Northern Highlands of Wisconsin, a suite of lakes linked through a common groundwater and surface flow system as well as common climatic, edaphic, and biogeographic systems. The suite includes oligotrophic, dystrophic, and mesotrophic lakes and a gradient in the portion that precipitation, groundwater, and surface water contribute to the input of their hydrologic budgets.","2026414",NA,"1","5657","LTERNTLWoodruff","-89.734","45.925","45.925","-89.734"
"3","http://hydroportal.cuahsi.org/Andrewsforestlter/cuahsi_1_1.asmx?WSDL","Streamflow data from Andrews Forest LTER","http://hiscentral.cuahsi.org/pub_network.aspx?n=5658","Andrews Forest LTER","Johnson, S.; Rothacher, J. 2018. Stream discharge in gaged watersheds at the Andrews Experimental Forest, 1949 to present. Long-Term Ecological Research. Forest Science Data Bank, Corvallis, OR. [Database]. Available: http://andlter.forestry.oregonstate.edu/data/abstract.aspx?dbcode=HF004 (24 June 2019) DOI:http://dx.doi.org/10.6073/pasta/ce70a42e1f637cd430d7b0fb64faefb4.","Streamflow records from small watersheds began in November 1952 at WS 1,2, and 3 (60 to 100 ha), 1963 at WS 6, 7, and 8 (15 to 22 ha) 1968 at WS 9 and 10 (9 and 10 ha), 1980 at Mack Creek (580 ha), and 1949 at Lookout Creek (2440 ha). Data has been collected continuously since the start of data collection for all watersheds with the exception of WS7, which was shut down as a cost-saving maneuver from WY1988 through WY1994 (7 years).","23741",NA,"1","5658","AndrewsforestLTER","-122.2449","44.21201","44.21201","-122.2449"
"4","https://www4.des.state.nh.us/WaterOneFlow/cuahsi_1_1.asmx?WSDL","New Hampshire Geological Survey Water Oneflow Service","http://hiscentral.cuahsi.org/pub_network.aspx?n=5661","New Hampshire Geological Survey",NA,NA,"17721019",NA,"3005","5661","NHGS_WOF","-72.75804","40","45.2717","-68.41837"
"5","http://hydroportal.cuahsi.org/NooksackObservatory/cuahsi_1_1.asmx?WSDL","Nooksack Microclimate Network","http://hiscentral.cuahsi.org/pub_network.aspx?n=5660","Nooksack Indian Tribe","Data Resource: J. Beaulieu, Bandaragoda, C., C. Beveridge, N. Cristea (2019). Nooksack Temperature Lapse Rate Study, HydroShare, <a href>http://www.hydroshare.org/resource/2d9787bf36d04c9383e595d179f9298b</a> </br> Data Publication: Bandaragoda, C., J. Beaulieu, N. Cristea, C. Beveridge, (2019). elevation distributed micro-climatology data in a coastal glaciated watershed, Data in Brief, (in preparation).  Code: C. Beveridge, N. Cristea, Bandaragoda, C., J. Beaulieu. (2019, June 5). nooksack-indian-tribe/CurvyLapseRate: Alpha release to create DOI for Nooksack Indian Tribe (Version v0.0.1-alpha). Zenodo. <a href>http://doi.org/10.5281/zenodo.3239539</a>","Air temperature, ground temperature and relative humidity data was collected in a longitudinal transect of the Nooksack watershed at varying elevations from 500 - 1800 m above sea level. Data was collected by anchoring sensors from trees above winter snow levels and shaded from direct solar radiation. </br>Paired sensors were also buried 3 cm under ground near each air temperature sensor to determine snow absence or presence. Selected sites included relative humidity sensors to indicate whether precipitation was occuring. Data was collected every 3-4 hours from May 2015 to Sept 2018 (with ongoing collection). </br>Code for processing daily mean, minimum, maximum, and rates of temperature changes with elevation is available on Github (<a href>https://doi.org/10.5281/zenodo.3239539</a>). The sensor download and intermediate data products are available on HydroShare with publicly accessible visualization available from the Nooksack Observatory at <a href> http://data.cuahsi.org<a>.","8998",NA,"6","5660","Nooksack Microclimate Network","-121.8074","48.8481","48.90532","-121.6555"
"6","http://hydroportal.cuahsi.org/FCELTER/cuahsi_1_1.asmx?WSDL","Florida Coastal Everglades (FCE) LTER","http://hiscentral.cuahsi.org/pub_network.aspx?n=5664","Florida Coastal Everglades (FCE) LTER",NA,NA,"129472",NA,"1","5664","FCELTER","-81.3896","25.8489","25.8489","-81.3896"
"7","http://hydroportal.cuahsi.org/Holyfire/cuahsi_1_1.asmx?WSDL","Hydrologic monitoring data for headwaters burned in 2018 Holy Fire, southern California, USA","http://hiscentral.cuahsi.org/pub_network.aspx?n=5665","University of California, Riverside","Guilinger, J.J., Gray, A.B., Barth, N.C., Fong, B.T. (2020). Hydrologic monitoring data for headwaters burned in 2018 Holy Fire, Leach Canyon, Santa Ana Mountains, California, USA","Hydrologic monitoring data for headwaters burned in 2018 Holy Fire, Leach Canyon, Santa Ana Mountains, California, USA


Rationale:
Post-fire debris flows are particularly complex to study because they do not form discrete initiation locations and commonly involve multiple simultaneously operating erosional processes. Although recent work has begun to elucidate a more mechanistic understanding of post-fire debris flows, there is still a paucity of detailed sediment budgets characterizing these events. In this study, we seek to understand how post-fire sediment sources and erosional processes change over multiple storm cycles.

Methods: 
In addition to hydrologic data described and provided here, sediment budgets in this project were derived from SfM/lidar data (see UNAVCO repository here for metadata/data: https://www.unavco.org/data/lidar-sfm/lidar-sfm.html). 
 We installed two rain calibrated 0.2 mm tipping-bucket rain gages (Onset HOBO RG3-M), one located at a lower ridgeline (898 m elevation) and one located at the top of the watershed (1045 m elevation). The lower rain gage experienced a malfunction, but little difference in rainfall was found between gages for the storms with monitoring overlap, so we elected to use the continuous record of the upper-most gage. Soil volumetric water content sensors (Campbell Scientific CS616) were installed in depth profiles (5, 15, 30 cm) that were established on a north-facing shoulder slopes adjacent to the upper rain gage. In order to detect hillslope runoff production during storm events, we installed a ~ 50 cm diameter circular runoff plot following the design of Moody and Ebel (2012b) to identify storms that produced runoff near the upper drainage divide. We calculated 2-minute runoff values (Q2, mm hr-1) by dividing discharge (mm3/hr) from each bucket tip of a repurposed Onset HOBO RG3-M 0.2-mm tipping bucket rain gage by the bounded plot area (mm2). By converting to runoff values, we can facilitate the comparison of these values through a plot-scale runoff coefficient through the division of summed runoff by summed rainfall from the nearby tipping bucket gage. Finally, a Solinst Levelogger pressure transducer was installed further downslope in a hole drilled into bedrock channel (drainage area = 17 ha) to analyze the timing and peak pressure head (Hp) of sediment-laden flows as an integrated expression of watershed response (Kean et al., 2012). If significant rain was forecasted, the transducer was manually triggered to record at a 10-second frequency along with a barometric sensor (Solinst Barologger) tied to a tree adjacent to the channel in order to remove atmospheric pressure fluctuation from the pressure head time series.
","378542",NA,"4","5665","Holyfire","-117.4409","33.66662","33.66906","-117.4372"
"8","http://hydroportal.cuahsi.org/trwa/cuahsi_1_1.asmx?WSDL","Taunton River Watershed Alliance","http://hiscentral.cuahsi.org/pub_network.aspx?n=5626","Taunton River Watershed Alliance","Taunton River Watershed Alliance Water Quality Monitoring Data","TRWA monitors the main stem of the Taunton River at four locations Berkley to Bridgewater along with critical tributaries feeding the river at fifteen additional locations during the early morning hours the second Tuesday of each month March to November. The reason they do this is to provide the watershed a regular check-up essential to continue the focus on correction of previously identified problems and to identify new issues. TRWA monitors nitrate, total phosphorus, fecal coliform bacteria, total suspended solids, dissolved oxygen, pH, and temperature.","6567",NA,"37","5626","TRWA","-71.16666","41.78298","42.1","-70.91227"
"9","http://hydroportal.cuahsi.org/Brazil_UCB/cuahsi_1_1.asmx?WSDL","Curated Data for the Brazilian Rainforest-Savanna Transition Zone","http://hiscentral.cuahsi.org/pub_network.aspx?n=5629","Department of Civil and Environmental Engineering at UC Berkeley","Levy, Morgan. Curated Rain and Flow Data for the Brazilian Rainforest-Savanna Transition Zone. Figshare. https://dx.doi.org/10.6084/m9.figshare.3100912","Curated set of long-term, historical (intermittent, 1950 - 2013) daily rainfall and streamflow data from a large region spanning the southern Amazonian rainforest to tropical savanna biomes of Brazil. The curated data set was derived from free, publicly-available rainfall, streamflow, and associated geographic information systems (GIS) data obtained primarily from the Brazilian government water management agency, and also from the government electricity regulatory agency: Agência Nacional de Águas (ANA) and Agência Nacional de Energia Elétrica (ANEEL), respectively.","2097150",NA,"210","5629","Brazil_UCB","-61.0453","-18.5117","-7.6147","-48.1772"
"10","http://hydroportal.cuahsi.org/frc/cuahsi_1_1.asmx?WSDL","French River Connection Water Quality Monitoring","http://hiscentral.cuahsi.org/pub_network.aspx?n=5630","French River Connection","French River Connection Water Quality Monitoring Data","The French River Connection is a non-profit founded in 2005, headquartered in Webster,  Massachusetts. The organization is dedicated to the preservation and revitalization of the French River corridor in the towns of Webster, Dudley, and Oxford.","8010",NA,"22","5630","FRC_WQM","-71.8925","42.01694","42.16345","71.88389"
